"Status","Name","DisplayName","BinaryPathName"
"Running","NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1b5e80ff87b1f5c8\Display.NvContainer\NVDisplay.Container.exe -s NVDisplay.ContainerLocalSystem -f C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log -l 3 -d C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_1b5e80ff87b1f5c8\Display.NvContainer\plugins\LocalSystem -r -p 30000 -cfg NVDisplay.ContainerLocalSystem\LocalSystem"
"Running","OneSyncSvc_88c8e","Sync Host_88c8e","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"Running","Origin Web Helper Service","Origin Web Helper Service","""C:\Program Files (x86)\Origin\OriginWebHelperService.exe"""
"Running","PcaSvc","Program Compatibility Assistant Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","PimIndexMaintenanceSvc_88c8e","Contact Data_88c8e","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"Running","PlugPlay","Plug and Play","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Running","Power","Power","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Running","ProfSvc","User Profile Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","QWAVE","Quality Windows Audio Video Experience","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Running","RasMan","Remote Access Connection Manager","C:\Windows\System32\svchost.exe -k netsvcs"
"Running","RmSvc","Radio Management Service","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"Running","RpcEptMapper","RPC Endpoint Mapper","C:\Windows\system32\svchost.exe -k RPCSS -p"
"Running","RpcSs","Remote Procedure Call (RPC)","C:\Windows\system32\svchost.exe -k rpcss -p"
"Running","SamSs","Security Accounts Manager","C:\Windows\system32\lsass.exe"
"Running","Schedule","Task Scheduler","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","SecurityHealthService","Windows Security Service","C:\Windows\system32\SecurityHealthService.exe"
"Running","SEMgrSvc","Payments and NFC/SE Manager","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","SENS","System Event Notification Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","SgrmBroker","System Guard Runtime Monitor Broker","C:\Windows\system32\SgrmBroker.exe"
"Running","ShellHWDetection","Shell Hardware Detection","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Running","Spooler","Print Spooler","C:\Windows\System32\spoolsv.exe"
"Running","SSDPSRV","SSDP Discovery","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Running","SstpSvc","Secure Socket Tunneling Protocol Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","StateRepository","State Repository Service","C:\Windows\system32\svchost.exe -k appmodel -p"
"Running","Steam Client Service","Steam Client Service","""C:\Program Files (x86)\Common Files\Steam\steamservice.exe"" /RunAsService"
"Running","StorSvc","Storage Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","SysMain","SysMain","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","SystemEventsBroker","System Events Broker","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Running","TabletInputService","Touch Keyboard and Handwriting Panel Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","Themes","Themes","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Running","TimeBrokerSvc","Time Broker","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","TokenBroker","Web Account Manager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","TrkWks","Distributed Link Tracking Client","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","UnistoreSvc_88c8e","User Data Storage_88c8e","C:\Windows\System32\svchost.exe -k UnistackSvcGroup"
"Running","UserDataSvc_88c8e","User Data Access_88c8e","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"Running","UserManager","User Manager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","UsoSvc","Update Orchestrator Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","VaultSvc","Credential Manager","C:\Windows\system32\lsass.exe"
"Running","VMAuthdService","VMware Authorization Service","""C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe"""
"Running","VMnetDHCP","VMware DHCP Service","C:\Windows\SysWOW64\vmnetdhcp.exe"
"Running","VMUSBArbService","VMware USB Arbitration Service","""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe"""
"Running","VMware NAT Service","VMware NAT Service","C:\Windows\SysWOW64\vmnat.exe"
"Running","vmwsprrdpwks","VMware Serial Com Redirection Client service","""C:\Program Files\Common Files\VMware\SerialPortRedirection\Client\vmwsprrdpwks.exe"""
"Running","Wcmsvc","Windows Connection Manager","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","WdiServiceHost","Diagnostic Service Host","C:\Windows\System32\svchost.exe -k LocalService -p"
"Running","WdiSystemHost","Diagnostic System Host","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.5-0\NisSrv.exe"""
"Running","WebClient","WebClient","C:\Windows\system32\svchost.exe -k LocalService -p"
"Running","WinDefend","Microsoft Defender Antivirus Service","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2210.5-0\MsMpEng.exe"""
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","Winmgmt","Windows Management Instrumentation","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","WpnService","Windows Push Notifications System Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Running","WpnUserService_88c8e","Windows Push Notifications User Service_88c8e","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"Running","wscsvc","Security Center","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","WSearch","Windows Search","C:\Windows\system32\SearchIndexer.exe /Embedding"
